ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07-01,0.000029
274692171162531764,2021-07-01,0.032840
274692171162531764,2021-07-01,0.023581
274692171162531764,2021-07-01,0.027951
465309249432033993,2021-07-01,0.000019
465309249432033993,2021-07-01,0.000047
465309249432033993,2021-07-01,0.000060
465309249432033993,2021-07-01,0.000060
5883155883105348987,2021-07-01,0.034773
5883155883105348987,2021-07-01,0.014778
4489904752023469353,2021-07-01,0.054287
3355881107559250653,2021-07-01,0.001171
3355881107559250653,2021-07-01,0.000370
3355881107559250653,2021-07-01,0.000618
3355881107559250653,2021-07-01,0.001496
3355881107559250653,2021-07-01,0.001492
3355881107559250653,2021-07-01,0.001542
3355881107559250653,2021-07-01,0.000319
6330043096034525408,2021-07-01,0.479759
6330043096034525408,2021-07-01,0.464258
6964108750473070287,2021-07-01,0.005097
6964108750473070287,2021-07-01,0.002118
6964108750473070287,2021-07-01,0.006285
6964108750473070287,2021-07-01,0.003313
6964108750473070287,2021-07-01,0.126757
6964108750473070287,2021-07-01,0.001877
6964108750473070287,2021-07-01,0.006818
6964108750473070287,2021-07-01,0.007864
6964108750473070287,2021-07-01,0.011405
6964108750473070287,2021-07-01,0.011814
6964108750473070287,2021-07-01,0.007121
6964108750473070287,2021-07-01,0.061705
6964108750473070287,2021-07-01,0.001933
6964108750473070287,2021-07-01,0.008854
6964108750473070287,2021-07-01,0.008854
6964108750473070287,2021-07-01,0.006362
4008627434689715639,2021-07-01,0.250181
4008627434689715639,2021-07-01,0.135927
4008627434689715639,2021-07-01,0.351446
5757271354816214865,2021-07-01,0.990191
5757271354816214865,2021-07-01,0.997841
5757271354816214865,2021-07-01,0.995671
5757271354816214865,2021-07-01,0.990576
5757271354816214865,2021-07-01,0.992239
5757271354816214865,2021-07-01,0.989653
5757271354816214865,2021-07-01,0.980379
5757271354816214865,2021-07-01,0.988317
5757271354816214865,2021-07-01,0.991782
5757271354816214865,2021-07-01,0.988353
5757271354816214865,2021-07-01,0.953040
5757271354816214865,2021-07-01,0.994550
5757271354816214865,2021-07-01,0.960663
5757271354816214865,2021-07-01,0.976457
5757271354816214865,2021-07-01,0.986360
8909740532547211288,2021-07-01,0.001214
8909740532547211288,2021-07-01,0.000854
8909740532547211288,2021-07-01,0.000658
4045739494965095560,2021-07-01,0.003351
4045739494965095560,2021-07-01,0.002292
4045739494965095560,2021-07-01,0.002133
6759864637454708017,2021-07-01,0.003332
6759864637454708017,2021-07-01,0.025614
6759864637454708017,2021-07-01,0.002289
6759864637454708017,2021-07-01,0.006197
6759864637454708017,2021-07-01,0.002274
6759864637454708017,2021-07-01,0.001931
6134696632487351445,2021-07-01,0.000209
6134696632487351445,2021-07-01,0.000085
6134696632487351445,2021-07-01,0.001245
5373371196946859811,2021-07-01,0.007193
3095686599956852697,2021-07-01,0.000124
